Date : 2024-05-29 16:29:59
Directory : c:\xampp\htdocs\surtido_cf
Total : 101 files,  13884 codes, 758 comments, 943 blanks, all 15585 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| public                                                                                                |          4 |        313 |          7 |        132 |        452 |
| public (Files)                                                                                        |          1 |          9 |          3 |          6 |         18 |
| public\css                                                                                            |          1 |        258 |          4 |        116 |        378 |
| public\js                                                                                             |          2 |         46 |          0 |         10 |         56 |
| resources                                                                                             |         32 |      1,151 |         17 |        234 |      1,402 |
| resources\css                                                                                         |          1 |          3 |          0 |          1 |          4 |
| resources\js                                                                                          |          2 |          7 |          0 |          6 |         13 |
| resources\views                                                                                       |         29 |      1,141 |         17 |        227 |      1,385 |
| resources\views (Files)                                                                               |          3 |        475 |         15 |         95 |        585 |
| resources\views\auth                                                                                  |          6 |        182 |          0 |         45 |        227 |
| resources\views\components                                                                            |         13 |        163 |          2 |         28 |        193 |
| resources\views\layouts                                                                               |          3 |        155 |          0 |         25 |        180 |
| resources\views\profile                                                                               |          4 |        166 |          0 |         34 |        200 |
| resources\views\profile (Files)                                                                       |          1 |         26 |          0 |          4 |         30 |
| resources\views\profile\partials                                                                      |          3 |        140 |          0 |         30 |        170 |
| routes                                                                                                |          3 |         72 |          1 |         28 |        101 |
| tests                                                                                                 |         10 |        335 |          8 |        122 |        465 |
| tests (Files)                                                                                         |          1 |          6 |          1 |          4 |         11 |
| tests\Feature                                                                                         |          8 |        319 |          4 |        114 |        437 |
| tests\Feature (Files)                                                                                 |          2 |         87 |          4 |         29 |        120 |
| tests\Feature\Auth                                                                                    |          6 |        232 |          0 |         85 |        317 |
| tests\Unit                                                                                            |          1 |         10 |          3 |          4 |         17 |
| vendor                                                                                                |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie                                                                                         |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition                                                                                |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources                                                                      |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources\compiled                                                             |          2 |          7 |          2 |          1 |         10 |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                              | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\surtido_cf\.github\workflows\issues.yml                                               | YAML       |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\surtido_cf\.github\workflows\pull-requests.yml                                        | YAML       |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\surtido_cf\.github\workflows\tests.yml                                                | YAML       |         36 |          0 |         12 |         48 |
| c:\xampp\htdocs\surtido_cf\.github\workflows\update-changelog.yml                                     | YAML       |         10 |          0 |          4 |         14 |
| c:\xampp\htdocs\surtido_cf\.styleci.yml                                                               | YAML       |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\surtido_cf\CHANGELOG.md                                                               | Markdown   |         19 |          0 |         14 |         33 |
| c:\xampp\htdocs\surtido_cf\README.md                                                                  | Markdown   |         45 |          0 |         22 |         67 |
| c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Auth\AuthenticatedSessionController.php               | PHP        |         28 |          9 |         11 |         48 |
| c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Auth\ConfirmablePasswordController.php                | PHP        |         28 |          6 |          7 |         41 |
| c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Auth\EmailVerificationNotificationController.php      | PHP        |         16 |          3 |          6 |         25 |
| c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Auth\EmailVerificationPromptController.php            | PHP        |         15 |          3 |          4 |         22 |
| c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Auth\NewPasswordController.php                        | PHP        |         40 |         14 |          8 |         62 |
| c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Auth\PasswordController.php                           | PHP        |         21 |          3 |          6 |         30 |
| c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Auth\PasswordResetLinkController.php                  | PHP        |         27 |         11 |          7 |         45 |
| c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Auth\RegisteredUserController.php                     | PHP        |         34 |          8 |          9 |         51 |
| c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Auth\VerifyEmailController.php                        | PHP        |         19 |          3 |          6 |         28 |
| c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Controller.php                                        | PHP        |          5 |          1 |          3 |          9 |
| c:\xampp\htdocs\surtido_cf\app\Http\Controllers\ProductController.php                                 | PHP        |         48 |          2 |         11 |         61 |
| c:\xampp\htdocs\surtido_cf\app\Http\Controllers\ProfileController.php                                 | PHP        |         38 |          9 |         14 |         61 |
| c:\xampp\htdocs\surtido_cf\app\Http\Requests\Auth\LoginRequest.php                                    | PHP        |         51 |         21 |         14 |         86 |
| c:\xampp\htdocs\surtido_cf\app\Http\Requests\ProfileUpdateRequest.php                                 | PHP        |         15 |          5 |          4 |         24 |
| c:\xampp\htdocs\surtido_cf\app\Models\User.php                                                        | PHP        |         25 |         16 |          7 |         48 |
| c:\xampp\htdocs\surtido_cf\app\Providers\AppServiceProvider.php                                       | PHP        |         12 |          8 |          5 |         25 |
| c:\xampp\htdocs\surtido_cf\app\View\Components\AppLayout.php                                          | PHP        |         11 |          3 |          4 |         18 |
| c:\xampp\htdocs\surtido_cf\app\View\Components\GuestLayout.php                                        | PHP        |         11 |          3 |          4 |         18 |
| c:\xampp\htdocs\surtido_cf\bootstrap\app.php                                                          | PHP        |         14 |          2 |          3 |         19 |
| c:\xampp\htdocs\surtido_cf\bootstrap\providers.php                                                    | PHP        |          4 |          0 |          2 |          6 |
| c:\xampp\htdocs\surtido_cf\composer.json                                                              | JSON       |         67 |          0 |          1 |         68 |
| c:\xampp\htdocs\surtido_cf\composer.lock                                                              | JSON       |      8,212 |          0 |          1 |      8,213 |
| c:\xampp\htdocs\surtido_cf\config\app.php                                                             | PHP        |         22 |         82 |         23 |        127 |
| c:\xampp\htdocs\surtido_cf\config\auth.php                                                            | PHP        |         28 |         74 |         14 |        116 |
| c:\xampp\htdocs\surtido_cf\config\cache.php                                                           | PHP        |         56 |         34 |         18 |        108 |
| c:\xampp\htdocs\surtido_cf\config\database.php                                                        | PHP        |        103 |         41 |         24 |        168 |
| c:\xampp\htdocs\surtido_cf\config\filesystems.php                                                     | PHP        |         32 |         32 |         13 |         77 |
| c:\xampp\htdocs\surtido_cf\config\logging.php                                                         | PHP        |         79 |         33 |         21 |        133 |
| c:\xampp\htdocs\surtido_cf\config\mail.php                                                            | PHP        |         52 |         42 |         18 |        112 |
| c:\xampp\htdocs\surtido_cf\config\queue.php                                                           | PHP        |         52 |         44 |         17 |        113 |
| c:\xampp\htdocs\surtido_cf\config\services.php                                                        | PHP        |         17 |         11 |          7 |         35 |
| c:\xampp\htdocs\surtido_cf\config\session.php                                                         | PHP        |         23 |        160 |         35 |        218 |
| c:\xampp\htdocs\surtido_cf\database\factories\UserFactory.php                                         | PHP        |         25 |         14 |          6 |         45 |
| c:\xampp\htdocs\surtido_cf\database\migrations\0001_01_01_000000_create_users_table.php               | PHP        |         38 |          6 |          6 |         50 |
| c:\xampp\htdocs\surtido_cf\database\migrations\0001_01_01_000001_create_cache_table.php               | PHP        |         25 |          6 |          5 |         36 |
| c:\xampp\htdocs\surtido_cf\database\migrations\0001_01_01_000002_create_jobs_table.php                | PHP        |         46 |          6 |          6 |         58 |
| c:\xampp\htdocs\surtido_cf\database\seeders\DatabaseSeeder.php                                        | PHP        |         14 |          5 |          5 |         24 |
| c:\xampp\htdocs\surtido_cf\package-lock.json                                                          | JSON       |      2,431 |          0 |          1 |      2,432 |
| c:\xampp\htdocs\surtido_cf\package.json                                                               | JSON       |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\surtido_cf\phpunit.xml                                                                | XML        |         31 |          2 |          1 |         34 |
| c:\xampp\htdocs\surtido_cf\postcss.config.js                                                          | JavaScript |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\surtido_cf\public\css\estilos.css                                                     | CSS        |        258 |          4 |        116 |        378 |
| c:\xampp\htdocs\surtido_cf\public\index.php                                                           | PHP        |          9 |          3 |          6 |         18 |
| c:\xampp\htdocs\surtido_cf\public\js\update_factura.php                                               | PHP        |         23 |          0 |          5 |         28 |
| c:\xampp\htdocs\surtido_cf\public\js\update_nota.php                                                  | PHP        |         23 |          0 |          5 |         28 |
| c:\xampp\htdocs\surtido_cf\resources\css\app.css                                                      | CSS        |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\surtido_cf\resources\js\app.js                                                        | JavaScript |          4 |          0 |          4 |          8 |
| c:\xampp\htdocs\surtido_cf\resources\js\bootstrap.js                                                  | JavaScript |          3 |          0 |          2 |          5 |
| c:\xampp\htdocs\surtido_cf\resources\views\auth\confirm-password.blade.php                            | PHP        |         22 |          0 |          6 |         28 |
| c:\xampp\htdocs\surtido_cf\resources\views\auth\forgot-password.blade.php                             | PHP        |         21 |          0 |          5 |         26 |
| c:\xampp\htdocs\surtido_cf\resources\views\auth\login.blade.php                                       | PHP        |         39 |          0 |          9 |         48 |
| c:\xampp\htdocs\surtido_cf\resources\views\auth\register.blade.php                                    | PHP        |         42 |          0 |         11 |         53 |
| c:\xampp\htdocs\surtido_cf\resources\views\auth\reset-password.blade.php                              | PHP        |         32 |          0 |          8 |         40 |
| c:\xampp\htdocs\surtido_cf\resources\views\auth\verify-email.blade.php                                | PHP        |         26 |          0 |          6 |         32 |
| c:\xampp\htdocs\surtido_cf\resources\views\components\application-logo.blade.php                      | PHP        |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\surtido_cf\resources\views\components\auth-session-status.blade.php                   | PHP        |          6 |          0 |          2 |          8 |
| c:\xampp\htdocs\surtido_cf\resources\views\components\danger-button.blade.php                         | PHP        |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\surtido_cf\resources\views\components\dropdown-link.blade.php                         | PHP        |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\surtido_cf\resources\views\components\dropdown.blade.php                              | PHP        |         39 |          0 |          5 |         44 |
| c:\xampp\htdocs\surtido_cf\resources\views\components\input-error.blade.php                           | PHP        |          8 |          0 |          2 |         10 |
| c:\xampp\htdocs\surtido_cf\resources\views\components\input-label.blade.php                           | PHP        |          4 |          0 |          2 |          6 |
| c:\xampp\htdocs\surtido_cf\resources\views\components\modal.blade.php                                 | PHP        |         73 |          2 |          4 |         79 |
| c:\xampp\htdocs\surtido_cf\resources\views\components\nav-link.blade.php                              | PHP        |          9 |          0 |          3 |         12 |
| c:\xampp\htdocs\surtido_cf\resources\views\components\primary-button.blade.php                        | PHP        |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\surtido_cf\resources\views\components\responsive-nav-link.blade.php                   | PHP        |          9 |          0 |          3 |         12 |
| c:\xampp\htdocs\surtido_cf\resources\views\components\secondary-button.blade.php                      | PHP        |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\surtido_cf\resources\views\components\text-input.blade.php                            | PHP        |          2 |          0 |          2 |          4 |
| c:\xampp\htdocs\surtido_cf\resources\views\dashboard.blade.php                                        | PHP        |        308 |         15 |         71 |        394 |
| c:\xampp\htdocs\surtido_cf\resources\views\layouts\app.blade.php                                      | PHP        |         31 |          0 |          7 |         38 |
| c:\xampp\htdocs\surtido_cf\resources\views\layouts\guest.blade.php                                    | PHP        |         26 |          0 |          5 |         31 |
| c:\xampp\htdocs\surtido_cf\resources\views\layouts\navigation.blade.php                               | PHP        |         98 |          0 |         13 |        111 |
| c:\xampp\htdocs\surtido_cf\resources\views\mercado.blade.php                                          | PHP        |         16 |          0 |          2 |         18 |
| c:\xampp\htdocs\surtido_cf\resources\views\profile\edit.blade.php                                     | PHP        |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\surtido_cf\resources\views\profile\partials\delete-user-form.blade.php                | PHP        |         45 |          0 |         11 |         56 |
| c:\xampp\htdocs\surtido_cf\resources\views\profile\partials\update-password-form.blade.php            | PHP        |         41 |          0 |          8 |         49 |
| c:\xampp\htdocs\surtido_cf\resources\views\profile\partials\update-profile-information-form.blade.php | PHP        |         54 |          0 |         11 |         65 |
| c:\xampp\htdocs\surtido_cf\resources\views\welcome.blade.php                                          | PHP        |        151 |          0 |         22 |        173 |
| c:\xampp\htdocs\surtido_cf\routes\auth.php                                                            | PHP        |         43 |          0 |         17 |         60 |
| c:\xampp\htdocs\surtido_cf\routes\console.php                                                         | PHP        |          6 |          0 |          3 |          9 |
| c:\xampp\htdocs\surtido_cf\routes\web.php                                                             | PHP        |         23 |          1 |          8 |         32 |
| c:\xampp\htdocs\surtido_cf\tailwind.config.js                                                         | JavaScript |         17 |          1 |          4 |         22 |
| c:\xampp\htdocs\surtido_cf\tests\Feature\Auth\AuthenticationTest.php                                  | PHP        |         40 |          0 |         15 |         55 |
| c:\xampp\htdocs\surtido_cf\tests\Feature\Auth\EmailVerificationTest.php                               | PHP        |         43 |          0 |         16 |         59 |
| c:\xampp\htdocs\surtido_cf\tests\Feature\Auth\PasswordConfirmationTest.php                            | PHP        |         32 |          0 |         13 |         45 |
| c:\xampp\htdocs\surtido_cf\tests\Feature\Auth\PasswordResetTest.php                                   | PHP        |         52 |          0 |         22 |         74 |
| c:\xampp\htdocs\surtido_cf\tests\Feature\Auth\PasswordUpdateTest.php                                  | PHP        |         41 |          0 |         11 |         52 |
| c:\xampp\htdocs\surtido_cf\tests\Feature\Auth\RegistrationTest.php                                    | PHP        |         24 |          0 |          8 |         32 |
| c:\xampp\htdocs\surtido_cf\tests\Feature\ExampleTest.php                                              | PHP        |         11 |          4 |          5 |         20 |
| c:\xampp\htdocs\surtido_cf\tests\Feature\ProfileTest.php                                              | PHP        |         76 |          0 |         24 |        100 |
| c:\xampp\htdocs\surtido_cf\tests\TestCase.php                                                         | PHP        |          6 |          1 |          4 |         11 |
| c:\xampp\htdocs\surtido_cf\tests\Unit\ExampleTest.php                                                 | PHP        |         10 |          3 |          4 |         17 |
| c:\xampp\htdocs\surtido_cf\vendor\spatie\ignition\resources\compiled\ignition.css                     | CSS        |          1 |          2 |          0 |          3 |
| c:\xampp\htdocs\surtido_cf\vendor\spatie\ignition\resources\compiled\ignition.js                      | JavaScript |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\surtido_cf\vite.config.js                                                             | JavaScript |         13 |          0 |          2 |         15 |
| Total                                                                                                 |            |     13,884 |        758 |        943 |     15,585 |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
